NU_ANO_CENSO,CO_ENTIDADE,NO_ENTIDADE,CO_ORGAO_REGIONAL,TP_SITUACAO_FUNCIONAMENTO,DT_ANO_LETIVO_INICIO,DT_ANO_LETIVO_TERMINO,CO_REGIAO,CO_MESORREGIAO,NO_MESORREGIAO,CO_MICRORREGIAO,CO_UF,CO_MUNICIPIO,NO_MUNICIPIO,CO_DISTRITO,TP_DEPENDENCIA,TP_LOCALIZACAO,TP_LOCALIZACAO_DIFERENCIADA,IN_VINCULO_SECRETARIA_EDUCACAO,TP_REGULAMENTACAO,TP_RESPONSAVEL_REGULAMENTACAO,IN_LABORATORIO_INFORMATICA,IN_COMPUTADOR,IN_EQUIP_COPIADORA,IN_EQUIP_IMPRESSORA,IN_EQUIP_IMPRESSORA_MULT,IN_EQUIP_SCANNER,IN_EQUIP_NENHUM,IN_EQUIP_DVD,QT_EQUIP_DVD,IN_EQUIP_SOM,QT_EQUIP_SOM,IN_EQUIP_TV,QT_EQUIP_TV,IN_EQUIP_LOUSA_DIGITAL,QT_EQUIP_LOUSA_DIGITAL,IN_EQUIP_MULTIMIDIA,QT_EQUIP_MULTIMIDIA,IN_DESKTOP_ALUNO,QT_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,QT_COMP_PORTATIL_ALUNO,IN_TABLET_ALUNO,QT_TABLET_ALUNO,IN_INTERNET,IN_INTERNET_ALUNOS,IN_INTERNET_ADMINISTRATIVO,IN_INTERNET_APRENDIZAGEM,IN_INTERNET_COMUNIDADE,IN_ACESSO_INTERNET_COMPUTADOR,IN_ACES_INTERNET_DISP_PESSOAIS,TP_REDE_LOCAL,IN_BANDA_LARGA,IN_REDES_SOCIAIS
2020,25000012,EMEF JOAO ALVES,2,1,2/10/2020,12/21/2020,2,2503,Agreste Paraibano,25013,25,2501005,Araruna,250100505,Municipal,Urbana,0,1,Sim,Municipal,Não,Sim,Não,Sim,0,0,0,1,1,1,2,Sim,2,Não,0,Sim,1,1,4,1,2,0,0,Sim,Não,Sim,Sim,Não,Não,Não,A cabo e Wireless,1,1
2020,25000047,ECI NOSSA SENHORA DA CONCEICAO,8,1,2/10/2020,12/18/2020,2,2501,Sertão Paraibano,25001,25,2502003,Belém do Brejo do Cruz,250200305,Estadual,Urbana,0,1,Sim,Estadual,Não,Sim,Não,Não,1,0,0,1,1,1,1,Sim,2,Sim,1,Sim,4,1,24,1,2,0,0,Sim,Sim,Sim,Sim,Não,Sim,Não,Wireless,1,1
2020,25000055,EEEFM AMERICO MAIA,8,1,2/10/2020,12/18/2020,2,2501,Sertão Paraibano,25001,25,2502003,Belém do Brejo do Cruz,250200305,Estadual,Urbana,0,1,Sim,Estadual,Sim,Sim,Não,Sim,0,0,0,0,0,1,1,Sim,1,Sim,1,Não,0,1,13,0,0,0,0,Sim,Sim,Sim,Sim,Não,Sim,Não,Wireless,1,0
2020,25000063,EMEIF PREFEITO PLINIO FORTE MAIA,8,1,3/2/2020,12/18/2020,2,2501,Sertão Paraibano,25001,25,2502003,Belém do Brejo do Cruz,250200305,Municipal,Urbana,0,1,Sim,Municipal,Não,Não,Não,Sim,0,0,0,0,0,1,1,Não,0,Não,0,Sim,1,0,0,0,0,0,0,Sim,Não,Sim,Sim,Não,Não,Não,Não informado,0,1
2020,25000110,ESC MUL FRANCISCO DA CUNHA,8,1,3/2/2020,12/18/2020,2,2501,Sertão Paraibano,25001,25,2502003,Belém do Brejo do Cruz,250200305,Municipal,Urbana,0,1,Em tramitação,Municipal,Não,Sim,Não,Sim,0,0,0,1,2,1,1,Sim,3,Não,0,Sim,2,0,0,1,2,0,0,Sim,Não,Sim,Não,Não,Não,Não,A cabo,1,0
2020,25000160,ESCOLA MEIF PROFESSOR RAIMUNDO SEVERINO ANDRADE,8,1,3/2/2020,12/18/2020,2,2501,Sertão Paraibano,25001,25,2502003,Belém do Brejo do Cruz,250200305,Municipal,Urbana,0,1,Em tramitação,Municipal,Não,Sim,Não,Sim,0,0,0,0,0,0,0,Sim,1,Não,0,Não,0,1,1,1,1,0,0,Sim,Não,Sim,Não,Não,Não,Não,A cabo,1,1
2020,25000217,ESC MUL FRANCISCA INGRACA DA CONCEICAO,8,1,3/2/2020,12/18/2020,2,2501,Sertão Paraibano,25001,25,2502003,Belém do Brejo do Cruz,250200305,Municipal,Rural,0,1,Não,,Não,Sim,Não,Não,0,0,0,1,1,0,0,Sim,1,Não,0,Não,0,0,0,0,0,0,0,Sim,Não,Sim,Não,Não,Não,Não,Não há rede local,0,0
2020,25000225,ESCOLA DR GENIVAL LACERDA DA CUNHA,8,1,3/2/2020,12/17/2020,2,2501,Sertão Paraibano,25001,25,2502003,Belém do Brejo do Cruz,250200305,Municipal,Rural,0,1,Não,,Não,Sim,Não,Não,0,0,0,1,1,0,0,Sim,1,Não,0,Não,0,1,4,0,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não informado,,0
2020,25000268,GR ESC JOAO MENDES DE ARAUJO,8,1,3/2/2020,12/17/2020,2,2501,Sertão Paraibano,25001,25,2502003,Belém do Brejo do Cruz,250200305,Municipal,Rural,0,1,Não,,Não,Não,Não,Não,0,0,1,1,1,0,0,Sim,1,Não,0,Não,0,0,0,0,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não informado,,0
2020,25000306,EMEF MANOEL VIANA DOS SANTOS,8,1,3/2/2020,12/20/2020,2,2501,Sertão Paraibano,25001,25,2502003,Belém do Brejo do Cruz,250200305,Municipal,Urbana,0,1,Sim,Municipal,Não,Sim,Não,Sim,1,0,0,1,2,1,2,Sim,1,Não,0,Sim,3,1,5,1,1,0,0,Sim,Não,Sim,Não,Não,Não,Não,Wireless,0,1
2020,25000349,ECI EEFM PADRE ARISTIDES,8,1,2/10/2020,12/18/2020,2,2501,Sertão Paraibano,25001,25,2502300,Bom Sucesso,250230005,Estadual,Urbana,0,1,Sim,Estadual,Sim,Sim,Não,Não,1,0,0,1,1,1,2,Sim,2,Não,0,Sim,3,1,20,1,1,0,0,Sim,Não,Sim,Não,Não,Não,Não,Não há rede local,0,1
2020,25000373,EEEF DR JOSE PAZ DE LIMA,8,1,2/10/2020,12/18/2020,2,2501,Sertão Paraibano,25001,25,2502300,Bom Sucesso,250230005,Estadual,Urbana,0,1,Sim,Estadual,Não,Sim,Não,Não,0,0,0,0,0,1,4,Não,0,Não,0,Não,0,1,13,0,0,0,0,Sim,Sim,Sim,Sim,Não,Sim,Não,Não há rede local,1,9
2020,25000489,ESC MUL LAUREANO LEAO DE LIMA,8,1,2/3/2020,12/18/2020,2,2501,Sertão Paraibano,25001,25,2502300,Bom Sucesso,250230005,Municipal,Rural,0,1,Sim,Estadual,Sim,Sim,Não,Sim,0,0,0,1,1,1,3,Sim,1,Não,0,Não,0,1,5,0,0,0,0,Sim,Sim,Sim,Não,Não,Sim,Não,A cabo,1,0
2020,25000497,ESC MUL BALBINA DE A OLIVEIRA,8,1,2/3/2020,12/29/2020,2,2501,Sertão Paraibano,25001,25,2502300,Bom Sucesso,250230005,Municipal,Urbana,0,1,Sim,Estadual,Sim,Sim,Sim,Sim,1,0,0,1,1,1,1,Sim,1,Não,0,Sim,1,1,10,0,0,0,0,Sim,Não,Sim,Sim,Não,Não,Não,Wireless,1,1
2020,25000616,CRECHE SAO JOSE,8,1,2/17/2020,12/22/2020,2,2501,Sertão Paraibano,25001,25,2514651,São José do Brejo do Cruz,251465105,Municipal,Urbana,0,1,Sim,Municipal,Não,Sim,Não,Sim,0,0,0,1,2,1,1,Sim,3,Não,0,Não,0,0,0,0,0,0,0,Sim,Não,Sim,Não,Não,Não,Não,Wireless,0,0
2020,25000640,ECI JOSE OLIMPIO MAIA,8,1,2/10/2020,1/11/2021,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Estadual,Urbana,0,1,Sim,Estadual,Sim,Sim,Não,Sim,1,0,0,0,0,1,3,Sim,2,Não,0,Sim,2,1,19,0,0,0,0,Sim,Sim,Sim,Sim,Não,Sim,Não,Não há rede local,1,1
2020,25000659,EEEFM ANTONIO GOMES,8,1,2/10/2020,12/18/2020,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Estadual,Urbana,0,1,Sim,Estadual,Sim,Sim,Não,Não,0,0,0,0,0,1,1,Não,0,Não,0,Não,0,1,13,0,0,0,0,Sim,Sim,Sim,Sim,Não,Sim,Não,Não há rede local,1,1
2020,25000691,E M E F PROFESSORA TEREZINHA GARCIA PEREIRA,8,1,2/17/2020,12/23/2020,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Urbana,0,1,Sim,Municipal,Sim,Sim,Sim,Sim,1,0,0,1,3,1,3,Sim,3,Não,0,Sim,3,1,18,1,490,0,0,Sim,Sim,Sim,Não,Não,9,9,Wireless,1,1
2020,25000748,E M E F ANTONIO MAIA NOBRE,8,1,3/10/2020,12/30/2020,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,0,1,Sim,Municipal,Não,Não,Não,Não,0,0,1,0,0,0,0,Não,0,Não,0,Não,0,0,0,0,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não informado,,0
2020,25000756,E M E F ANTONIO MINERVINO FILGUEIRAS,8,2,,,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,25000764,ESC MUL BENEDITO VERAS SALDANHA,8,1,3/2/2020,12/17/2020,2,2501,Sertão Paraibano,25001,25,2502003,Belém do Brejo do Cruz,250200305,Municipal,Rural,0,1,Sim,Municipal,Não,Não,Sim,Não,0,0,0,1,1,0,0,Sim,1,Não,0,Não,0,0,0,0,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não informado,,0
2020,25000780,E M E F CONEGO SANDOVAL,8,1,2/17/2020,12/23/2020,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Urbana,0,1,Sim,Municipal,Sim,Sim,Sim,Sim,1,0,0,1,2,1,5,Sim,3,Não,0,Sim,1,1,10,0,0,0,0,Sim,Sim,Sim,Não,Não,Sim,Não,Wireless,1,1
2020,25001027,E M E F FRANCISCA GOMES BATISTA,8,1,2/17/2020,12/23/2020,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Urbana,0,1,Sim,Municipal,Sim,Sim,Não,Não,1,0,0,1,1,0,0,Sim,1,Não,0,Sim,1,0,0,0,0,0,0,Sim,Não,Sim,Não,Não,Não,Não,Wireless,1,1
2020,25001035,E M E F FRANCISCO TARGINO DA SILVA,8,2,,,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,25001043,E M E F JOAO TARGINO DA SILVA,8,1,2/17/2020,12/23/2020,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,0,1,Sim,Municipal,Não,Não,Não,Não,0,0,1,0,0,0,0,Não,0,Não,0,Não,0,0,0,0,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não informado,,0
2020,25001051,E M E F JOAQUINA IZABEL LINHARES,8,1,3/10/2020,12/30/2020,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,0,1,Sim,Municipal,Não,Não,Não,Não,0,0,1,0,0,0,0,Não,0,Não,0,Não,0,0,0,0,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não informado,,0
2020,25001060,E M E F JOSE CASSIMIRO FILHO,8,2,,,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,25001078,E M E F JOSUE ALVES DE AZEVEDO,8,1,2/17/2020,12/23/2020,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Urbana,0,1,Sim,Municipal,Sim,Sim,Não,Sim,0,1,0,1,4,1,7,Sim,4,Não,0,Sim,1,1,9,0,0,0,0,Sim,Não,Sim,Não,Não,Não,Não,Wireless,1,1
2020,25001108,E M E F PROFESSOR MANOEL TORRES,8,1,2/17/2020,12/23/2020,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Urbana,0,1,Sim,Municipal,Sim,Sim,Não,Sim,1,0,0,1,2,1,6,Sim,2,Não,0,Sim,2,1,18,1,2,0,0,Sim,Sim,Sim,Sim,Não,Sim,Não,Wireless,1,1
2020,25001124,E M E F IRENE BARRETO FILGUEIRAS,8,2,,,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,25001183,E M E F SEVERINO FERREIRA DE LIMA,8,1,2/17/2020,12/23/2020,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,0,1,Sim,Municipal,Não,Não,Não,Não,0,0,1,0,0,0,0,Não,0,Não,0,Não,0,0,0,0,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não informado,,0
2020,25001191,E M E F ABDON DA CUNHA LIMA,8,1,3/10/2020,12/30/2020,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,0,1,Sim,Municipal,Não,Não,Não,Não,0,0,1,0,0,0,0,Não,0,Não,0,Não,0,0,0,0,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não informado,,0
2020,25001205,E M E F BENTO FERREIRA DE ALENCAR,8,1,3/10/2020,12/30/2020,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,0,1,Sim,Municipal,Não,Não,Não,Não,0,0,1,0,0,0,0,Não,0,Não,0,Não,0,0,0,0,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não informado,,0
2020,25001213,E M E F ELZA MARIZ MAIA,8,2,,,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,25001221,E M E F JANUNCIO DANTAS DE OLIVEIRA,8,2,,,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,25001230,ESC MUL MANOEL IBIAPINO DUTRA,8,2,,,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,25001248,E M E F MARIA DE LOURDES GARCIA,8,1,3/10/2020,12/30/2020,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,0,1,Sim,Municipal,Não,Não,Não,Não,0,0,1,0,0,0,0,Não,0,Não,0,Não,0,0,0,0,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não informado,,0
2020,25001272,JARDIM ESCOLA PROFESSOR MANOEL GOMES DA SILVA,8,2,,,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Privada,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,25001302,EEEFM OLIVIA SARAIVA MAIA,8,1,2/10/2020,12/18/2020,2,2501,Sertão Paraibano,25001,25,2514651,São José do Brejo do Cruz,251465105,Estadual,Urbana,0,1,Sim,Estadual,Não,Sim,Não,Não,1,0,0,0,0,0,0,Não,0,Não,0,Não,0,1,2,0,0,0,0,Sim,Não,Sim,Não,Não,Não,Não,Não há rede local,1,1
2020,25001370,ESC MUL MADRINHA SANTANA,8,1,2/17/2020,12/22/2020,2,2501,Sertão Paraibano,25001,25,2514651,São José do Brejo do Cruz,251465105,Municipal,Rural,0,1,Sim,Municipal,Não,Sim,Não,Não,1,0,0,1,1,1,1,Sim,1,Não,0,Não,0,0,0,0,0,0,0,Sim,Não,Sim,Não,Não,Não,Não,Wireless,0,0
2020,25001396,ESC MUL MANOEL JANUARIO DE ARAUJO,8,1,2/17/2020,12/22/2020,2,2501,Sertão Paraibano,25001,25,2514651,São José do Brejo do Cruz,251465105,Municipal,Rural,0,1,Sim,Municipal,Não,Sim,Não,Não,1,0,0,1,1,1,1,Sim,1,Não,0,Não,0,0,0,0,0,0,0,Sim,Não,Sim,Não,Não,Não,Não,Wireless,0,0
2020,25001418,E M E F MOISES FENANDES BEZERRA,8,1,3/10/2020,12/30/2020,2,2501,Sertão Paraibano,25001,25,2502805,Brejo do Cruz,250280505,Municipal,Rural,0,1,Sim,Municipal,Não,Não,Não,Não,0,0,1,0,0,0,0,Não,0,Não,0,Não,0,0,0,0,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não informado,,0
